the_geom,phase,operator,total_occupants,presumed_accident_location,country,presumed_area,date,nature,departure_airport,intended_destination,asn_id,type,mh370,month_and_day_asn_id,month_and_day,year,cartodb_id,created_at,updated_at
0101000020E6100000D7169E978A955E40F2272A1BD65C2840,Unknown,Philippine Air Lines,4,near Iloilo,Philippines,sea,"January 24, 1950",Cargo,Iloilo-Mandurriao Airport,"Manila International Airport, within the Philippines",19500124-0,Douglas DC-3,,19500124-0,2024-01-01,1950,57,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000B537F8C264C350C04D4EED0C53332840,Unknown,AVENSA,3,off northern coast,Venezuela,sea,"August 20, 1948",Cargo,La Guaira Airport,"Las Piedras-Josefa Camejo Airport, within Venezuela",19480820-0,Douglas C-47A (DC-3),,19480820-0,2020-08-01,1948,58,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000691B7FA2B28B52C0847EA65EB76C3B40,En route,Airborne Transport,32,off Florida,USA,sea,"December 28, 1948",Domestic Non Scheduled Passenger,San Juan-Isla Grande Airport in Puerto Rico,Miami International Airport in Florida,19481228-0,Douglas DC-3DST-144,,19481228-0,2028-12-01,1948,59,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000F54883DB5A2661C052465C001AEF4C40,En route,Pacific Alaska Air Express,17,"off Cape Spencer, Alaska",USA,sea,"November 4, 1948",Domestic Non Scheduled Passenger,Yakutat Airport,"Annette Island Airport, within Alaska",19481104-0,Douglas C-47A (DC-3),,19481104-0,2004-11-01,1948,60,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000ED647094BC8641C0488787307E6A2D40,En route,Air France,52,ca 1900 km W of Dakar,Senegal,sea,"August 1, 1948",International Scheduled Passenger,Fort de France Hydrobase in Martinique,Port-Étienne Airport in Mauritania,19480801-1,Latécoère 631,,19480801-1,2001-08-01,1948,61,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000E38A8BA372785540E00F3FFF3DC24540,En route,Zhong Fei General Aviation Company,3,Manas County,China,land,"March 28, 2011",Survey/research,Korla,"Korla, within China",20110328-0,Cessna 550 Citation II,,20110328-0,2028-03-01,2011,62,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000452BF702B35636C0CD21A985926B4A40,En route,Superior Oil Corp.,2,unknown area,Atlantic Ocean,sea,"May 5, 1948",Unknown,Gander Airport in Canada,Shannon Airport in Ireland,19480505-0,Douglas C-47A (DC-3),,19480505-0,2005-05-01,1948,63,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000847F1134665552C0639AE95E27434640,Unknown,Cousin Properties,5,"Lake Champlain, New York",USA,sea,"January 21, 1971",Executive,"Burlington International Airport, Vermont","Providence Airport, Rhode Island",19710121-2,Rockwell 1121 Jet Commander,,19710121-2,2021-01-01,1971,64,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000048A7AE7C966A5EC04E61A5828A0A3F40,En route,United States Navy,8,off California,USA,sea,"May 26, 1972",Military,Moffett Field,"Moffett Field, within California",19720526-1,Lockheed P-3A-50-LO Orion,,19720526-1,2026-05-01,1972,65,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000035B742588D1D5940614F3BFC35B90A40,En route,Upali Air,6,"ca 20 km off Kuala Selangor, Straits of Malacca",Malaysia,sea,"February 13, 1983",Executive,Kuala Lumpur Subang International Airport,Colombo-Katunayake International Airport in Sri Lanka,19830213-0,Learjet 35A,,19830213-0,2013-02-01,1983,66,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
